segment,intercept,elasticity,disc_effect,n_products_effect,r_squared,r_squared_adj,oos_mape,n_obs,mean_demand,mean_price,mean_n_products
0,-0.40207894418792023,-0.7137767746908139,0.17753844761642767,1.218063219173147,0.7887435159052999,0.7783538527531015,4.33714564518075,65,1762.7384615384615,2.6095428419463302,1113.9692307692308
1,-4.48245455926611,-0.4147138032779836,1.3624766651685363,1.76701727551543,0.8275073949821898,0.8190241521124615,4.093762497508329,65,4578.661538461539,2.083647623529971,1699.0461538461539
2,15.986912548540545,-0.488510689896259,-2.9981258630018814,-0.06999902669730318,0.08815554694761651,0.043310737781105835,8.424670897899356,65,2847567.076923077,1.7995171495439446,1145.7384615384615
3,2.591902554912444,-1.0908816483542374,0.6655437552794581,0.8778416986175461,0.4272019832692904,0.3990315890038456,7.2472070850606825,65,1483.8153846153846,2.7076842975968702,585.6
4,-0.4282412328036287,-0.21420003330746695,-1.975777413938248,1.244372571021712,0.5002905891258375,0.47571471645989505,6.49462936717577,65,495.5076923076923,3.3663090558296087,283.67692307692306
5,1.270037138794759,-0.06129697819808157,3.1176097189696037,0.8268033614245041,0.6219638415567799,0.6033718993382609,5.348811405540137,65,644.9538461538461,8.081569724795594,376.7846153846154
6,-0.6865873202979849,0.052154108913777364,-1.5112399703909603,1.1537532556247763,0.8273189520201412,0.8188264414637547,3.111622713536606,65,929.5692307692308,7.761583567753921,628.8615384615384
7,-1.6705798646593486,-0.17350060452303495,0.5048817827697416,1.3573487574376752,0.7948241195106196,0.7847335024373714,4.460843372051518,65,4982.523076923077,2.299802588609176,1878.6307692307691
8,-2.3984176106130874,0.18173149743821604,1.9740393859996033,1.3984577457565184,0.7977823812109456,0.7878372524180413,3.286534776435327,65,2481.8307692307694,1.9263193016941715,1342.753846153846
9,1.8184130646460197,-0.055385948699993484,-0.11671455861344526,0.8895218098310957,0.2721685376840062,0.23637354773403918,9.420702882365827,65,195.13846153846154,4.846214524647681,53.86153846153846
10,0.10469144250863849,-1.7109134382009294,0.7743174382438127,1.2525154650872512,0.6492977785790681,0.6320501283452518,6.281366783023875,65,1917.6461538461538,2.1356000523567675,975.8
11,-1.4567405240867348,-0.3491399349913751,2.311917296082626,1.6100637288410249,0.39397759499678897,0.36417321442286055,17.19265331544874,65,1801.7230769230769,2.88604941517595,262.44615384615383
