segment,n_products,mean_elasticity,median_elasticity,mean_disc_effect,median_disc_effect,mean_base_demand,mean_base_price
0,7,-0.3338424365658745,0.0,2.1059681407378417,0.9646066676345761,6.614353321706857,4.770824668256097
1,2,0.0,0.0,0.058859386306602285,0.058859386306602285,1.2965273764888667,4.082708333333334
2,3,0.0,0.0,-0.1312401582010754,-1.9592171022796882e-16,2.328601275097394,10.264894102313457
4,30,-0.3347257267402818,0.0,1.4433648955654907,0.8937939247350271,4.21263641770592,3.5455501263982256
5,15,-0.47419555247019957,0.0,1.296831804153319,0.4857731019747441,7.433875801405008,1.565881941623472
6,45,-0.2594258850446187,0.0,2.8822971853930364,2.392264060667061,4.6608662044820965,5.8446375619669055
7,7,-1.2822820476206491,-0.5715768021504639,0.25288945357549447,1.0884539457109378e-17,6.639882886723846,10.42601975204376
8,7,-0.07861504617100475,-3.2273925134452223e-16,0.6954423926188612,0.26197839782069793,3.476844607746235,13.67910282156968
9,28,-0.5109555810138161,0.0,0.991629832517319,0.2891321450086165,4.410371824820607,4.864556068263995
10,2,0.0,0.0,-1.204311712585917,-1.204311712585917,1.5768354673995102,1.01667829119442
11,4,-0.3471975158917179,-0.08926435098590389,-0.433028784009631,-1.6368672798960645e-17,1.763631051858912,18.76526103080121
