segment,n_products,pct_benefit,mean_optimal_discount,mean_uplift_pct,total_base_revenue,total_optimal_revenue
0.0,7,0.42857142857142855,0.19285714285714287,134.62162199825244,170.8192931966654,493.29749696155756
1.0,2,0.0,0.0,0.0,9.577686440034771,9.577686440034771
2.0,3,0.0,0.0,0.0,75.20122213327494,75.20122213327494
4.0,30,0.4666666666666667,0.1716666666666667,187.09800653056968,432.80025613429746,1972.9751919219834
5.0,15,0.4,0.18000000000000002,84.57723888171633,186.46442083694424,424.2433394797779
6.0,45,0.7777777777777778,0.31666666666666665,336.7856564539174,1294.3962160597514,6307.91493017197
7.0,7,0.14285714285714285,0.03571428571428571,0.7833418156047037,273.807420113676,274.8091059098666
8.0,7,0.42857142857142855,0.14285714285714285,42.542100145634286,328.3140188148165,434.325673071078
9.0,28,0.35714285714285715,0.14464285714285713,50.994057005463155,639.1911872843056,987.9707924685065
10.0,2,0.0,0.0,0.0,3.719775415069971,3.719775415069971
11.0,4,0.0,0.0,0.0,137.37741902734507,137.37741902734507
